season_year,week,team_name,opponent_name,team_score,opponent_score,is_home,is_district,opponent_division,opponent_select_status
2025,1,Ruston,,,,,,
2025,2,Ruston,,,,,,
2025,3,Ruston,,,,,,
2025,4,Ruston,,,,,,
2025,5,Ruston,,,,,,
2025,6,Ruston,,,,,,
2025,7,Ruston,,,,,,
2025,8,Ruston,,,,,,
2025,9,Ruston,,,,,,
2025,10,Ruston,,,,,,
2025,1,Neville,,,,,,
2025,2,Neville,,,,,,
2025,3,Neville,,,,,,
2025,4,Neville,,,,,,
2025,5,Neville,,,,,,
2025,6,Neville,,,,,,
2025,7,Neville,,,,,,
2025,8,Neville,,,,,,
2025,9,Neville,,,,,,
2025,10,Neville,,,,,,
2025,1,Destrehan,,,,,,
2025,2,Destrehan,,,,,,
2025,3,Destrehan,,,,,,
2025,4,Destrehan,,,,,,
2025,5,Destrehan,,,,,,
2025,6,Destrehan,,,,,,
2025,7,Destrehan,,,,,,
2025,8,Destrehan,,,,,,
2025,9,Destrehan,,,,,,
2025,10,Destrehan,,,,,,
2025,1,Denham Springs,,,,,,
2025,2,Denham Springs,,,,,,
2025,3,Denham Springs,,,,,,
2025,4,Denham Springs,,,,,,
2025,5,Denham Springs,,,,,,
2025,6,Denham Springs,,,,,,
2025,7,Denham Springs,,,,,,
2025,8,Denham Springs,,,,,,
2025,9,Denham Springs,,,,,,
2025,10,Denham Springs,,,,,,
2025,1,Central - B.R.,,,,,,
2025,2,Central - B.R.,,,,,,
2025,3,Central - B.R.,,,,,,
2025,4,Central - B.R.,,,,,,
2025,5,Central - B.R.,,,,,,
2025,6,Central - B.R.,,,,,,
2025,7,Central - B.R.,,,,,,
2025,8,Central - B.R.,,,,,,
2025,9,Central - B.R.,,,,,,
2025,10,Central - B.R.,,,,,,
2025,1,Parkway,,,,,,
2025,2,Parkway,,,,,,
2025,3,Parkway,,,,,,
2025,4,Parkway,,,,,,
2025,5,Parkway,,,,,,
2025,6,Parkway,,,,,,
2025,7,Parkway,,,,,,
2025,8,Parkway,,,,,,
2025,9,Parkway,,,,,,
2025,10,Parkway,,,,,,
2025,1,Northwood - Shrev.,,,,,,
2025,2,Northwood - Shrev.,,,,,,
2025,3,Northwood - Shrev.,,,,,,
2025,4,Northwood - Shrev.,,,,,,
2025,5,Northwood - Shrev.,,,,,,
2025,6,Northwood - Shrev.,,,,,,
2025,7,Northwood - Shrev.,,,,,,
2025,8,Northwood - Shrev.,,,,,,
2025,9,Northwood - Shrev.,,,,,,
2025,10,Northwood - Shrev.,,,,,,
2025,1,Southside,,,,,,
2025,2,Southside,,,,,,
2025,3,Southside,,,,,,
2025,4,Southside,,,,,,
2025,5,Southside,,,,,,
2025,6,Southside,,,,,,
2025,7,Southside,,,,,,
2025,8,Southside,,,,,,
2025,9,Southside,,,,,,
2025,10,Southside,,,,,,
2025,1,Terrebonne,,,,,,
2025,2,Terrebonne,,,,,,
2025,3,Terrebonne,,,,,,
2025,4,Terrebonne,,,,,,
2025,5,Terrebonne,,,,,,
2025,6,Terrebonne,,,,,,
2025,7,Terrebonne,,,,,,
2025,8,Terrebonne,,,,,,
2025,9,Terrebonne,,,,,,
2025,10,Terrebonne,,,,,,
2025,1,West Monroe,,,,,,
2025,2,West Monroe,,,,,,
2025,3,West Monroe,,,,,,
2025,4,West Monroe,,,,,,
2025,5,West Monroe,,,,,,
2025,6,West Monroe,,,,,,
2025,7,West Monroe,,,,,,
2025,8,West Monroe,,,,,,
2025,9,West Monroe,,,,,,
2025,10,West Monroe,,,,,,
